#,報告者名,顧客名,日付(月－日ー年),時間（24時間表記　時：分）,相手先担当者,件名,報告本文,結果,状況,取り扱い,次回予定日,Do,Act,代理記入者名
#id,user_name,client_name,date,time,charge_person,title,report,result,state,treatment,next_date,project_do,project_act,agent_name
,宮田 亮,名古屋情報専門学校,11-13-2015,,大西,ナビ,トライアル実施用の資材発送の連絡。実施日が決まり次第連絡もらう。,フォロー継続,良い（順調）,,,報告,メール,
,宮田 亮,名古屋スクールオブビジネス,11-13-2015,,堀田,ナビ２,ナビ２トライアル資材発送の連絡。～１１／２０お届け。,フォロー継続,良い（順調）,,11-24-2015,報告,メール,
,宮田 亮,,11-16-2015,,河合,就職系,サンプル書籍到着の連絡あり。,収束,良い（順調）,,,報告,メール,
,宮田 亮,トライデントコンピュータ専門学校,11-16-2015,,橋本,情処,サンプル送付後のフォロー。プレ技の件も合わせて状況報告。,収束,良い（順調）,,,報告,メール,
,宮田 亮,別府大学,11-16-2015,,日和,社福模試,社福模試発送の連絡。不在のため取り急ぎメール。,フォロー継続,良い（順調）,,,報告,メール,
,宮田 亮,九州看護福祉大学,11-16-2015,,河谷,社福模試,社福模試発送の連絡。不在のため取り急ぎメール。,フォロー継続,良い（順調）,,,報告,メール,
,宮田 亮,西九州大学,11-24-2015,,岡部,社福模試,社福模試注文フォーム＆名簿送付。年末に受験予定。,フォロー継続,良い（順調）,,12-7-2015,報告,メール,
,宮田 亮,浜松情報専門学校,11-24-2015,,佐藤,Ｗｅｂ,旧ネットワークテキストのサンプル依頼。新版を紹介し、サンプル手配。,フォロー継続,良い（順調）,,11-30-2015,報告,メール,
,宮田 亮,九州看護福祉大学,11-24-2015,,河谷,社福模試,社福模試受験予定日について連絡あり。１２／３実施予定。,フォロー継続,良い（順調）,,,報告,メール,
,宮田 亮,高知開成専門学校,11-24-2015,,三本,Ｂアプリ・Ｃアプリ,注文あり。情報リテ・ＰＳ，ＩＬ　ＱＭ新採用。,フォロー継続,良い（順調）,,12-7-2015,報告,メール,
,宮田 亮,唐津ビジネスカレッジ,11-27-2015,,上原,Ｂアプリ,留守電。メールで情報リテを紹介。,フォロー継続,良い（順調）,,11-30-2015,報告,メール,
,宮田 亮,ギガステーション川尻校,11-27-2015,,山田,リハＷｅｂトレ,リハＷｅｂトレの案内送付。,収束,良い（順調）,,,報告,メール,
,宮田 亮,名古屋美容専門学校,11-27-2015,,前田,美容師Ｗｅｂ,過去問追加の案内。,フォロー継続,良い（順調）,,,報告,メール,
,宮田 亮,中日美容専門学校,11-27-2015,,粉川,美容師Ｗｅｂ,過去問追加の案内。,フォロー継続,良い（順調）,,,報告,メール,
,宮田 亮,フリーエース美容学校,11-27-2015,,古田,美容師Ｗｅｂ,過去問追加の案内。,フォロー継続,良い（順調）,,,報告,メール,
,宮田 亮,宮崎医療管理専門学校,11-30-2015,,福元,ナビ,アポ入らず。ナビ１、ＳＡサンプル帳票送付。,フォロー継続,良い（順調）,資料送付,12-7-2015,報告,メール,
,宮田 亮,総合プラント,12-7-2015,,吉永,マジックドア,サンプル到着の連絡あり。前向きに検討。合わせてナビ２を紹介。,収束,良い（順調）,,,報告,メール,
